Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Obesity,Undernourished
Afghanistan,0,5.978,37.1186,0.1501,0,47.4737,2.4512,2.2261,4.6025,0.8504,0,0.025,0.1251,0.1751,0.5003,0.1001,0.3252,0.075,0.1251,2.3012,4.5,29.8
Albania,0.912,19.9618,16.2107,0.8091,0.1471,40.556,9.9441,3.4422,8.0172,1.0591,0,0.0588,0.2648,1.0886,0.8091,0,1.2651,0.2501,0.3972,2.8244,22.3,6.2
Algeria,0.0896,7.2869,25.0112,0.4181,0.1195,49.2011,3.9869,3.9869,9.8999,0.1941,0,0.1045,0.0597,0.2688,1.09,0.1195,1.9262,0.1493,0.224,5.7638,26.6,3.9
Angola,1.9388,7.6229,18.3521,0.0441,0.8372,47.9842,0.5067,2.7539,19.9604,0.2644,0,0.0661,0.1102,1.0795,1.4981,0,12.6239,0.0441,0,4.2741,6.8,25
Antigua and Barbuda,2.3041,22.4028,13.7215,0.2057,1.728,39.6009,4.6904,5.8218,9.5248,1.5429,0,0.3086,0.1646,0.5966,0.4526,0.3497,0.8434,0.4937,0.0823,4.6904,19.1,NA
Argentina,1.4354,24.4328,16.7927,0.8643,0.2006,37.3206,3.1641,7.0536,8.736,1.065,0,0,0.2624,0.0309,0.1235,0.0309,1.4045,0.2315,0.0463,5.541,28.5,4.6
Armenia,0.2274,17.0565,19.2658,0.731,0.1787,42.9175,5.6368,5.2956,8.6905,1.7706,0,0.1137,0.2924,0.2274,0.4386,0.0162,1.2508,0.6985,0.3086,3.5737,20.9,4.3
Australia,1.9783,23.1048,11.643,0.4681,0.604,37.1791,4.8022,5.7989,14.4216,1.9027,0,0.2114,0.3473,0.6645,0.1359,0.1057,1.3138,0.5134,0.8457,8.3812,30.4,<2.5
Austria,2.8161,20.6201,12.3748,0.7853,0.4062,37.016,4.0482,6.2551,15.6783,5.2532,0,0,0.1083,0.6905,0.1083,0.1083,1.4622,0.3656,0.4197,7.1622,21.9,<2.5
Azerbaijan,2.2555,11.1004,28.7417,0.5478,0.0967,44.9009,3.1738,3.4155,5.7677,1.305,0,0.0322,0.1128,0.0483,0.0806,0.0161,2.2072,0.3061,0.4511,1.2083,19.9,<2.5
Bahamas,2.9145,22.9733,10.7274,0.6613,1.2491,41.2197,2.988,8.6701,8.5966,1.4205,0,1.0776,0.2694,1.0287,0.1225,0.2204,0.7103,0.4164,0.1714,3.1594,32.1,NA
Bangladesh,0,2.7163,37.5265,0.2312,0.8284,48.9116,0.7706,1.4448,7.5708,0.1541,0,0.0193,0.0385,0.1348,1.2329,0.5009,1.9264,0.0193,0.1156,3.429,3.4,14.7
Barbados,1.1224,17.7517,15.3514,0.5871,1.416,40.9083,3.1428,8.0815,11.6388,1.157,0,0.8979,0.1036,1.1915,1.2606,0.2936,1.7095,0.2936,0.2763,4.4552,24.8,3.9
Belarus,3.2979,17.9787,14.2705,0.8511,0.4863,40.9575,2.1884,4.6049,15.3647,2.6748,0,0.1672,0.3495,0.228,0,0.0152,4.9848,0.3951,0.4255,6.1246,26.6,<2.5
Belgium,2.3089,17.4363,13.0441,0.69,0.5971,38.9596,4.6311,6.8073,15.5255,4.7771,0,0,0.1858,0.2389,0.2919,0.0929,2.1895,0.1194,0.5573,7.0727,24.5,<2.5
Belize,1.5199,13.1233,18.9064,0.2966,0.3707,44.1149,1.8906,7.6367,12.1409,2.6135,0,0.519,0.0371,0.6117,2.2799,0.0371,0.5005,0.2966,0.1297,5.1158,22.4,7.5
Benin,1.7604,3.6842,18.4755,0.0544,0.5263,49.1471,0.5263,1.4338,24.3918,0.0907,0,0.0544,0.0726,1.8693,1.6515,1.0163,14.4646,0.0181,0.5082,4.6461,8.2,10.1
Bolivia,0.7859,16.78,21.644,0.5523,0.1062,43.0119,1.6355,5.6924,9.7919,0.9133,0,0.1274,0.085,0.4036,0.9133,0.085,3.5472,0.2761,0.7859,2.6551,18.7,17.1
Bosnia and Herzegovina,3.8856,12.085,21.233,0.2907,0.1836,45.1124,4.8799,3.0289,9.301,0.5507,0,0.1989,0.1071,0.306,0.7802,1.0402,2.264,0.8414,0.2601,2.9524,19.4,<2.5
Botswana,1.5598,10,22.3932,0.1068,0.1923,43.5469,4.6795,5.9402,11.5812,1.047,0,0.4487,0.2137,0.4915,0.5769,0.3419,2.6709,0.2564,0.0427,5.4915,16.1,26.4
Brazil,1.4314,20.3632,14.5913,0.4464,0.2309,39.0796,3.7402,6.5107,13.6062,1.5238,0,0,0.1077,0.7234,2.0317,0.0154,1.7854,0.1385,0.077,7.2033,22.3,<2.5
Bulgaria,3.6782,16.6048,17.931,0.5836,0.2829,40.3536,4.3855,4.6508,11.5298,2.458,0,0.0884,0.2653,0.6366,0.3537,1.2202,0.9019,0.2122,0.1415,5.252,27.4,3.6
Burkina Faso,2.5188,3.9529,31.6051,0.1471,0.2574,47.5455,1.0112,1.765,11.1968,0.1287,0,0.0368,0.0919,3.6771,2.4269,0.0552,0.478,0.0184,0.0735,4.2103,4.5,20
Cabo Verde,1.2525,11.9682,23.8171,0.338,0.3976,44.0557,3.2207,3.6183,11.332,1.0537,0,0.4374,0.0795,0.4374,2.2068,0.497,1.8887,0.1789,0.0596,4.493,10.6,12.6
Cambodia,1.4153,5.8229,33.0166,0.1011,1.7792,46.947,0.2022,4.3267,6.3889,0.1011,0,0.182,0.0809,1.8601,0.93,0.1415,1.6983,0.0404,0.0404,1.3142,3.5,16.4
Cameroon,1.5263,3.1656,20.5201,0.0188,0.5464,52.7039,0.4145,1.6017,19.5024,0.1507,0,0.0565,0.0565,2.3931,3.5613,0.6595,8.1213,0.0377,0.3203,4.1455,9.5,9.9
Canada,1.5748,17.4946,13.0279,0.7731,0.5297,40.2004,2.6199,6.199,17.5805,3.9656,0,0.2577,0.0143,1.3171,1.5748,0.1432,1.5175,0.2434,0.587,7.9599,31.3,<2.5
Central African Republic,0.5402,12.3685,8.9565,0.0569,0.4265,44.8109,0.8814,1.706,30.2531,0.7393,0,0.0284,0.3412,2.3031,2.2747,0,19.6759,0.0853,0,4.8052,6.3,59.6
Chad,0.1436,9.9569,27.8124,0.0239,0.4787,43.4897,2.0345,2.0823,13.978,0.7659,0,0.0239,0.5984,5.5529,2.0345,0,3.1833,0,0,1.8191,4.8,37.5
Chile,1.5942,19.7775,19.5782,0.631,0.3985,40.0199,2.4909,7.6387,7.8711,1.3783,0,0.083,0.0332,0.3819,0.5812,0.0332,2.1421,0.1827,0.2325,2.823,28.8,2.7
China,1.2768,26.074,17.3827,1.2349,1.2872,37.5804,1.889,3.3488,9.9263,1.1773,0.0209,0.5128,0.6698,1.0518,0.1727,0.0837,1.4023,0.4762,0.7797,3.5791,6.6,8.5
Colombia,0.9856,12.9261,15.3337,0.7433,0.2424,46.4372,3.2477,9.5654,10.5187,0.4363,0,0.0485,0.1293,0.3393,0.824,0.0808,2.7953,0.0969,0.1777,5.5906,22.1,4.8
Congo,1.6241,8.1637,12.6462,0.0433,1.1693,47.6613,0.2815,3.5513,24.8593,0.065,0,0.1083,0.2382,1.2343,0.6063,0,17.7783,0.1299,0,4.699,8.4,40.3
Costa Rica,1.211,14.3828,14.499,0.6304,0.7299,41.6058,4.8938,8.4107,13.6363,1.9741,0,0.0664,0.0829,0.5309,1.775,0.0829,0.8129,0.2488,0.1327,7.9297,25.7,4.8
Cote d'Ivoire,0.4579,3.0403,18.8278,0.1282,0.641,51.0256,0.2747,1.63,23.9744,0.0549,0,0.0183,0.1832,1.2088,0.3846,0.2564,15.5495,0.5311,0.8425,4.9451,9,19
