Country,Alcoholic Beverages,Animal Products,Cereals,Eggs,Seafood,FruitsAndVegetabels,Milk,Sugar,Else,Animal fats,"Aquatic Products, Other",Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetable Oils,Miscellaneous,Obesity,Undernourished
Afghanistan,0,12.886,35.9771,0.4067,0.0647,41.9671,5.5278,0,3.1706,0.0277,0,0.5916,0.2034,1.2479,0.1664,0.1941,0.5546,0.1387,0,0.0462,4.5,29.8
Albania,0.184,35.4051,14.2331,1.8069,0.6274,26.7765,16.475,0.0042,4.4879,0.0711,0,1.1084,0.3722,1.4555,0,0.8867,0.2635,0.2677,0.0084,0.0544,22.3,6.2
Algeria,0.0323,17.3448,26.5633,1.2916,0.635,40.4585,8.0616,0,5.6131,0.0054,0,0.3283,0.183,2.5509,0.1776,1.4638,0.4628,0.2745,0.0269,0.1399,26.6,3.9
Angola,0.6285,22.8559,20.3882,0.1756,5.4436,36.8669,1.146,0.0092,12.486,0.0277,0,0.8133,2.1534,4.085,0,5.1941,0.1017,0.0092,0.0092,0.0924,6.8,25
Antigua and Barbuda,0.1535,49.2571,10.5108,0.485,8.2146,19.6771,7.4349,0,4.2669,0.1289,0,0.8534,0.7674,0.8841,0.3438,0.4666,0.4113,0.0737,0.043,0.2947,19.1,NA
Argentina,0.1704,53.6049,13.6702,2.0593,1.0223,19.5901,5.8322,0.0049,4.0455,0.0097,0,1.4313,0.0097,0.2434,0.0292,1.3096,0.9688,0.0438,0,0,28.5,4.6
Armenia,0.0411,31.4079,18.2738,1.756,0.8831,32.8917,10.038,0.0051,4.7033,0.1438,0,1.5404,0.2619,0.9191,0.0154,0.9191,0.5545,0.2208,0.0205,0.1078,20.9,4.3
Australia,0.2914,51.8085,10.9343,1.0916,2.8585,18.9917,8.432,0,5.5921,0.074,0.0046,1.6929,0.6984,0.2683,0.1203,0.9944,0.7031,0.7724,0.0463,0.2174,30.4,<2.5
Austria,0.615,43.6558,13.1508,2.1456,1.8358,22.1492,11.4954,0.0139,4.9386,0.3376,0,0.5318,1.5028,0.2405,0.1341,1.045,0.726,0.3561,0.0647,0,21.9,<2.5
Azerbaijan,0.3465,23.159,28.2218,1.4078,0.4873,36.176,6.8497,0,3.3517,0.0596,0,0.6444,0.0541,0.1787,0.0108,1.7652,0.2328,0.3411,0.0217,0.0433,19.9,<2.5
Bahamas,0.0325,54.5995,7.8081,1.6755,5.734,20.3823,4.8312,0,4.9369,0.0895,0,1.4152,0.8052,0.2765,0.244,0.366,0.4311,0.1464,0.0325,1.1305,32.1,NA
Bangladesh,0,11.1968,31.7243,0.7216,5.8306,41.5941,1.8578,0.0415,7.0333,0.0083,0,0.2239,0.5972,3.2512,0.7465,1.9574,0.1161,0.1078,0,0.0249,3.4,14.7
Barbados,0.1344,42.2025,12.3067,1.4508,6.6939,23.9525,5.3944,0,7.8648,0.112,0,0.5826,1.2324,2.6608,0.3137,1.4228,0.3585,0.2465,0.028,0.9075,24.8,3.9
Belarus,0.3401,41.3337,13.7248,2.2901,2.4548,26.2062,6.0202,0,7.6303,0.1328,0,1.9554,0.5207,0.0053,0.0213,4.1552,0.3029,0.3454,0.0213,0.17,26.6,<2.5
Belgium,0.5466,38.5483,13.7687,1.9599,2.999,24.6467,11.9121,0.0049,5.6139,0.4678,0,1.0981,0.2216,0.6993,0.1182,1.9304,0.4235,0.5417,0.1133,0,24.5,<2.5
